,property_sub_type_en,property_usage_en,reg_type_en,area_name_en,transaction_id,trans_group_en,procedure_name_en,project_name_en,master_project_en,nearest_landmark_en,nearest_metro_en,nearest_mall_en,rooms_en,has_parking,procedure_area,actual_worth,meter_sale_price,rent_value,meter_rent_price,building_name_en,property_type_en,instance_date
565,Flat,Residential,Existing Properties,Nadd Hessa,1-133-2009-200189,Sales,Development Registration,,Silicon Oasis,IMG World Adventures,,,1 B/R,1,70.62,598560.0,8475.79,,,SILICON ARCH,Unit,08-04-2009
566,Flat,Residential,Existing Properties,Al Barshaa South Third,1-11-2016-4667,Sales,Sell,LINCOLN PARK,Arjan,Motor City,Sharaf Dg Metro Station,Mall of the Emirates,1 B/R,1,60.56,600000.0,9907.53,,,Lincoln Park A,Unit,20-04-2016
567,Flat,Residential,Off-Plan Properties,Marsa Dubai,1-102-2020-1823,Sales,Sell - Pre registration,MARINA VISTA,,,,,1 B/R,1,79.54,1751888.0,22025.25,,,Marina Vista Tower 1,Unit,06-02-2020
568,,Residential,Existing Properties,Al Yufrah 2,1-41-2022-16163,Sales,Delayed Sell,DAMAC HILLS (2) - ODORA ,DAMAC HILLS 2,Dubai Cycling Course,,,,0,174.79,1385000.0,7923.79,,,,Land,13-09-2022
569,Flat,Residential,Existing Properties,Me'Aisem First,1-11-2022-24049,Sales,Sell,SUN POINT DUBAI,International Media Production Zone,Sports City Swimming Academy,Harbour Tower,Ibn-e-Battuta Mall,1 B/R,1,68.34,948420.0,13877.96,,,Sun Point Dubai B,Unit,04-10-2022
570,Hotel Rooms,Hospitality ,Off-Plan Properties,Marsa Dubai,1-102-2023-48861,Sales,Sell - Pre registration,Ciel,,Burj Al Arab,Mina Seyahi,Marina Mall,Studio,0,9.99,770196.0,77096.7,,,Ciel,Unit,20-09-2023
571,Office,Commercial,Existing Properties,Business Bay,1-11-2010-2793,Sales,Sell,,Business Bay,Burj Khalifa,Business Bay Metro Station,Dubai Mall,Office,1,132.29,1547910.0,11700.88,,,ASPECT TOWER,Unit,08-03-2010
572,Office,Commercial,Off-Plan Properties,Business Bay,1-102-2008-25680,Sales,Sell - Pre registration,PRIME TOWER,Business Bay,Downtown Dubai,Business Bay Metro Station,Dubai Mall,Office,1,108.98,1534687.0,14082.29,,,The Prime Tower,Unit,25-05-2009
573,,Agricultural,Existing Properties,Wadi Al Amardi,3-9-2019-467,Gifts,Grant,,,,Etisalat Metro Station,City Centre Mirdif,,0,14812.27,7971850.0,538.19,,,,Building,21-02-2019
574,Office,Commercial,Existing Properties,Business Bay,2-13-2020-2215,Mortgages,Mortgage Registration,IRIS BAY,Business Bay,Downtown Dubai,Business Bay Metro Station,Dubai Mall,Office,1,144.61,705000.0,4875.18,,,Iris Bay,Unit,09-03-2020
575,Flat,Residential,Off-Plan Properties,Um Suqaim Third,1-102-2021-12658,Sales,Sell - Pre registration,Asayel at Madinat Jumeirah Living,,Burj Al Arab,First Abu Dhabi Bank Metro Station,Mall of the Emirates,1 B/R,1,71.31,1276000.0,17893.7,,,Asayel 3,Unit,09-08-2021
576,Villa,Residential,Off-Plan Properties,Wadi Al Safa 5,1-102-2021-14220,Sales,Sell - Pre registration,Arabain Ranches lll - Bliss,,,,,3 B/R,0,136.91,1864888.0,13621.27,,,,Villa,24-08-2021
577,Flat,Residential,Off-Plan Properties,Marsa Dubai,1-102-2022-36215,Sales,Sell - Pre registration,MARINA SHORES,Dubai Marina,Burj Al Arab,Dubai Marina,Marina Mall,2 B/R,1,110.56,3282888.0,29693.27,,,MARINA SHORES,Unit,07-11-2022
578,,Commercial,Existing Properties,Al Thanayah Fourth,2-13-2016-6309,Mortgages,Mortgage Registration,,Meadows 2,Sports City Swimming Academy,Damac Properties,Marina Mall,,0,974.65,4062500.0,4168.16,,,,Villa,29-08-2016
579,Flat,Residential,Existing Properties,Al Hebiah Third,1-41-2022-3073,Sales,Delayed Sell,DAMAC HILLS - CARSON ,DAMAC HILLS,Motor City,,,Studio,1,38.28,495000.0,12931.03,,,DAMAC HILLS - CARSON (A),Unit,23-02-2022
580,Flat,Residential,Off-Plan Properties,Business Bay,1-102-2022-31517,Sales,Sell - Pre registration,Peninsula Three,Business Bay,Downtown Dubai,Business Bay Metro Station,Dubai Mall,2 B/R,1,87.36,1965000.0,22493.13,,,Peninsula Three,Unit,13-10-2022
581,Flat,Residential,Existing Properties,Nadd Hessa,1-11-2010-10760,Sales,Sell,PALACE TOWER,Silicon Oasis,IMG World Adventures,,,Studio,1,44.75,426300.0,9526.26,,,PALACE TOWER T2,Unit,07-07-2010
582,,Commercial,Existing Properties,Nad Al Shiba,1-41-2008-1014,Sales,Delayed Sell,,Silicon Oasis,,,,,0,2085.69,13199043.0,6328.38,,,,Land,25-08-2008
583,Flat,Residential,Existing Properties,Al Thanyah Fifth,1-11-2013-2659,Sales,Sell,LAKESIDE RESIDENCE,Jumeirah Lakes Towers,Sports City Swimming Academy,Jumeirah Lakes Towers,Marina Mall,2 B/R,1,99.57,1056400.0,10609.62,,,Lakeside,Unit,20-03-2013
584,,Other,Existing Properties,Al Barshaa South First,2-13-2013-3976,Mortgages,Mortgage Registration,,,Motor City,First Abu Dhabi Bank Metro Station,Mall of the Emirates,,0,1328.28,750000.0,564.64,,,,Building,19-06-2013
585,Office,Commercial,Existing Properties,Al Warsan First,1-11-2019-9268,Sales,Sell,INDIGO OPTIMA 1,International City Phase 1,,Rashidiya Metro Station,City Centre Mirdif,Office,1,85.39,480000.0,5621.27,,,INDIGO OPTIMA 1,Unit,14-10-2019
586,Flat,Residential,Off-Plan Properties,Al Wasl,1-102-2022-18536,Sales,Sell - Pre registration,Myrtle,City Walk,,,,1 B/R,1,62.5,1267000.0,20272.0,,,Myrtle,Unit,08-07-2022
587,,Residential,Existing Properties,Madinat Hind 4,1-41-2024-1983,Sales,Delayed Sell,DAMAC HILLS (2) - PARK GREENS 1,DAMAC HILLS 2,,,,,0,605.47,4102000.0,6774.9,,,,Land,26-01-2024
